variable,tipo_riesgo,razon,accion
flag_undef_saldoprom_n1_t,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_n2_m,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_n2_h,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_n2_pm,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_n2_t,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_n3_m,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_n3_h,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_n3_pm,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_n3_t,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_tradic_m,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_tradic_h,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_tradic_pm,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_tradic_t,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_total_m,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_total_h,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_total_pm,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
flag_undef_saldoprom_total_t,flag_proceso,"Flag de missingness estructural (÷0). Útil para filtrar, no como control.","Usar solo para filtrar muestras, no como regresor"
alcaldesa_l1,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_l2,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_end_l1,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_end_l2,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_excl_trans_l1,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_excl_trans_l2,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_end_excl_trans_l1,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_end_excl_trans_l2,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_final_l1,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_final_l2,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
alcaldesa_final_l3,lag_tratamiento,Rezago del tratamiento — válido para event study / efectos dinámicos. No usar como control independiente.,Usar SOLO en especificación de event study
